"Id","Source","Target","Type"
"38030","969154442137358336","720219120067821568","directed"
"38031","969154442137358336","969546447552118786","directed"
"38032","969154442137358336","932747438","directed"
"38033","969154442137358336","823242481324195840","directed"
"38034","969154442137358336","793879191762636800","directed"
"38035","969154442137358336","849683755476426752","directed"
"38036","969154442137358336","59805032","directed"
"38037","969154442137358336","301927950","directed"
"38038","969154442137358336","533163305","directed"
"38039","969154442137358336","831814679706087424","directed"
"38040","969154442137358336","969153536490639361","directed"
"38041","750286186392977409","969546447552118786","directed"
"38042","750286186392977409","214008538","directed"
"38043","750286186392977409","491663397","directed"
"38044","750286186392977409","709333678925750273","directed"
"38045","750286186392977409","965636892413833217","directed"
"38046","750286186392977409","2336684419","directed"
"38047","750286186392977409","184917701","directed"
"38048","750286186392977409","1429810189","directed"
"38049","750286186392977409","382290608","directed"
"38050","750286186392977409","910489097956970497","directed"
"38051","750286186392977409","126617387","directed"
"38052","750286186392977409","227264145","directed"
"38053","750286186392977409","2601723926","directed"
"38054","750286186392977409","2799651442","directed"
"38055","750286186392977409","930483592009887745","directed"
"38056","750286186392977409","2382676952","directed"
"38057","750286186392977409","42596147","directed"
"38058","750286186392977409","917348214449360896","directed"
"38059","750286186392977409","3095200871","directed"
"38060","750286186392977409","2917823309","directed"
"38061","750286186392977409","872436119081816065","directed"
"38062","750286186392977409","730737482153795584","directed"
"38063","750286186392977409","823242481324195840","directed"
"38064","750286186392977409","15372038","directed"
"38065","750286186392977409","274886363","directed"
"38066","750286186392977409","400024012","directed"
"38067","750286186392977409","858656551749529602","directed"
"38068","750286186392977409","4839876503","directed"
"38069","750286186392977409","882933522931089411","directed"
"38070","750286186392977409","385614098","directed"
"38071","750286186392977409","259242304","directed"
"38072","750286186392977409","1104347432","directed"
"38073","750286186392977409","3238784939","directed"
"38074","750286186392977409","738331107293298692","directed"
"38075","750286186392977409","849520868464242689","directed"
"38076","750286186392977409","824611550971461632","directed"
"38077","750286186392977409","47579868","directed"
"38078","750286186392977409","392562349","directed"
"38079","750286186392977409","4008445576","directed"
"38080","750286186392977409","425834136","directed"
"38081","750286186392977409","1907251543","directed"
"38082","750286186392977409","3198095872","directed"
"38083","750286186392977409","48400074","directed"
"38084","750286186392977409","826021126853767168","directed"
"38085","750286186392977409","449195625","directed"
"38086","750286186392977409","4482641554","directed"
"38087","750286186392977409","37949399","directed"
"38088","750286186392977409","46347027","directed"
"38089","750286186392977409","1355203866","directed"
"38090","750286186392977409","1901655595","directed"
"38091","750286186392977409","831814679706087424","directed"
"38092","750286186392977409","713817882","directed"
"38093","750286186392977409","807209252171513856","directed"
"38094","750286186392977409","3065982022","directed"
"38095","750286186392977409","2915666614","directed"
"38096","750286186392977409","777784165437702144","directed"
"38097","750286186392977409","277007578","directed"
"38098","750286186392977409","2336883944","directed"
"38099","750286186392977409","4024116261","directed"
"38100","750286186392977409","3280014502","directed"
"38101","750286186392977409","376253021","directed"
"38102","750286186392977409","1284392876","directed"
"38103","750286186392977409","2543214114","directed"
"38104","750286186392977409","267898280","directed"
"38105","750286186392977409","402625250","directed"
"38106","750286186392977409","700501170","directed"
"38107","750286186392977409","1491426895","directed"
"38108","750286186392977409","966422798","directed"
"38109","750286186392977409","2359520304","directed"
"38110","750286186392977409","52062562","directed"
"38111","750286186392977409","773489936687304704","directed"
"38112","750286186392977409","2168094626","directed"
"38113","750286186392977409","21848601","directed"
"38114","750286186392977409","1117790442","directed"
"38115","750286186392977409","101755795","directed"
"38116","750286186392977409","948243710","directed"
"38117","750286186392977409","4567815741","directed"
"38118","750286186392977409","56184294","directed"
"38119","750286186392977409","2277607969","directed"
"38120","750286186392977409","4075080083","directed"
"38121","750286186392977409","2902125467","directed"
"38122","750286186392977409","250558059","directed"
"38123","750286186392977409","416361675","directed"
"38124","750286186392977409","61762488","directed"
"38125","750286186392977409","144832173","directed"
"38126","750286186392977409","1346705258","directed"
"38127","750286186392977409","48298968","directed"
"38128","750286186392977409","59805032","directed"
"38129","750286186392977409","772100325784317952","directed"
"38130","750286186392977409","2163323475","directed"
"38131","750286186392977409","263559225","directed"
"38132","750286186392977409","3805444043","directed"
"38133","750286186392977409","391926702","directed"
"38134","750286186392977409","1569018049","directed"
"38135","750286186392977409","3063951376","directed"
"38136","750286186392977409","400057790","directed"
"38137","750286186392977409","2785367814","directed"
"38138","750286186392977409","2615135439","directed"
"38139","750286186392977409","1421172834","directed"
"38140","750286186392977409","1097837820","directed"
"38141","750286186392977409","490720843","directed"
"38142","750286186392977409","2854488851","directed"
"38143","750286186392977409","2210397950","directed"
"38144","750286186392977409","964809955","directed"
"38145","750286186392977409","176733810","directed"
"38146","750286186392977409","2460007706","directed"
"38147","750286186392977409","183540750","directed"
"38148","750286186392977409","1462609603","directed"
"38149","750286186392977409","878092579","directed"
"38150","750286186392977409","2345035488","directed"
"38151","750286186392977409","21243456","directed"
"38152","750286186392977409","529256992","directed"
"38153","750286186392977409","2911564642","directed"
"38154","750286186392977409","2909775886","directed"
"38155","750286186392977409","4162410142","directed"
"38156","750286186392977409","74977676","directed"
"38157","750286186392977409","2833657167","directed"
"38158","750286186392977409","50810156","directed"
"38159","750286186392977409","793588688","directed"
"38160","750286186392977409","191606021","directed"
"38161","750286186392977409","2375696683","directed"
"38162","750286186392977409","89718182","directed"
"38163","750286186392977409","501666080","directed"
"38164","750286186392977409","88944075","directed"
"38165","750286186392977409","4055563587","directed"
"38166","750286186392977409","48309940","directed"
"38167","750286186392977409","2776117148","directed"
"38168","750286186392977409","84931753","directed"
"38169","750286186392977409","619971187","directed"
"38170","750286186392977409","932747438","directed"
"38171","750286186392977409","114733185","directed"
"38172","750286186392977409","297862021","directed"
"38173","750286186392977409","1598324696","directed"
"38174","750286186392977409","629155988","directed"
"38175","750286186392977409","519036960","directed"
"38176","750286186392977409","421912290","directed"
"38177","750286186392977409","168627231","directed"
"38178","750286186392977409","538097725","directed"
"38179","750286186392977409","4067216717","directed"
"38180","750286186392977409","1702037515","directed"
"38181","750286186392977409","995289067","directed"
"38182","750286186392977409","752948093503635456","directed"
"38183","750286186392977409","61145089","directed"
"38184","750286186392977409","720244135169536000","directed"
"38185","750286186392977409","4373963417","directed"
"38186","750286186392977409","865971338","directed"
"38187","750286186392977409","557562962","directed"
"38188","750286186392977409","706852789792710656","directed"
"38189","750286186392977409","400012781","directed"
"38190","750286186392977409","1170404948","directed"
"38191","750286186392977409","2785237306","directed"
"38192","750286186392977409","533163305","directed"
"38193","750286186392977409","3300459346","directed"
"38194","750286186392977409","434968866","directed"
"38195","750286186392977409","2838145444","directed"
"38196","750286186392977409","1878886411","directed"
"38197","61145089","831564825914400768","directed"
"38198","61145089","328994106","directed"
"38199","61145089","969546447552118786","directed"
"38200","61145089","2214719151","directed"
"38201","61145089","619971187","directed"
"38202","61145089","491663397","directed"
"38203","61145089","3095200871","directed"
"38204","61145089","84055536","directed"
"38205","61145089","17557482","directed"
"38206","61145089","2601723926","directed"
"38207","61145089","968748824150859777","directed"
"38208","61145089","847581278492778496","directed"
"38209","61145089","159796963","directed"
"38210","61145089","101755795","directed"
"38211","61145089","1341685472","directed"
"38212","61145089","3280014502","directed"
"38213","61145089","720219120067821568","directed"
"38214","61145089","2382676952","directed"
"38215","61145089","21848601","directed"
"38216","61145089","867847839757422592","directed"
"38217","61145089","2277607969","directed"
"38218","61145089","161471794","directed"
"38219","61145089","301927950","directed"
"38220","61145089","778180340414316546","directed"
"38221","61145089","930754078044491776","directed"
"38222","61145089","4162410142","directed"
"38223","61145089","1117790442","directed"
"38224","61145089","2401190942","directed"
"38225","61145089","63461239","directed"
"38226","61145089","21243456","directed"
"38227","61145089","2799651442","directed"
"38228","61145089","922452265360863232","directed"
"38229","61145089","917348214449360896","directed"
"38230","61145089","400057790","directed"
"38231","61145089","3816037815","directed"
"38232","61145089","168627231","directed"
"38233","61145089","826021126853767168","directed"
"38234","61145089","4024116261","directed"
"38235","61145089","4373963417","directed"
"38236","61145089","807209252171513856","directed"
"38237","61145089","700565881","directed"
"38238","61145089","831814679706087424","directed"
"38239","61145089","48301445","directed"
"38240","61145089","4482641554","directed"
"38241","61145089","1097837820","directed"
"38242","61145089","1346705258","directed"
"38243","61145089","52341962","directed"
"38244","61145089","720244135169536000","directed"
"38245","61145089","508013169","directed"
"38246","61145089","772100325784317952","directed"
"38247","61145089","259301275","directed"
"38248","61145089","708611699008524288","directed"
"38249","61145089","297862021","directed"
"38250","61145089","279093831","directed"
"38251","61145089","700501170","directed"
"38252","61145089","48298968","directed"
"38253","61145089","878092579","directed"
"38254","61145089","38632947","directed"
"38255","61145089","1395287006","directed"
"38256","61145089","2543214114","directed"
"38257","61145089","775647982754684928","directed"
"38258","61145089","1062831254","directed"
"38259","61145089","176733810","directed"
"38260","61145089","3063951376","directed"
"38261","61145089","2460007706","directed"
"38262","61145089","752948093503635456","directed"
"38263","61145089","1563291032","directed"
"38264","61145089","4055563587","directed"
"38265","61145089","1421172834","directed"
"38266","61145089","2210397950","directed"
"38267","61145089","4067216717","directed"
"38268","61145089","750286186392977409","directed"
"38269","61145089","74977676","directed"
"38270","61145089","529256992","directed"
"38271","61145089","503529895","directed"
"38272","61145089","53151026","directed"
"38273","61145089","629155988","directed"
"38274","61145089","385614098","directed"
"38275","61145089","2776117148","directed"
"38276","61145089","4567815741","directed"
"38277","61145089","59805032","directed"
"38278","61145089","932747438","directed"
"38279","61145089","84931753","directed"
"38280","61145089","519036960","directed"
"38281","61145089","114733185","directed"
"38282","61145089","402625250","directed"
"38283","61145089","557562962","directed"
"38284","61145089","4075080083","directed"
"38285","61145089","1702037515","directed"
"38286","61145089","2692094678","directed"
"38287","61145089","974973818","directed"
"38288","61145089","400024012","directed"
"38289","61145089","48400074","directed"
"38290","61145089","3300459346","directed"
"38291","61145089","3805444043","directed"
"38292","61145089","1178843514","directed"
"38293","61145089","2345035488","directed"
"38294","61145089","1284392876","directed"
"38295","61145089","48309940","directed"
"38296","61145089","995289067","directed"
"38297","61145089","750852710","directed"
"38298","61145089","369689042","directed"
"38299","61145089","1377767730","directed"
"38300","61145089","250558059","directed"
"38301","61145089","1381834524","directed"
"38302","61145089","173775023","directed"
"38303","61145089","1137114974","directed"
"38304","61145089","214008538","directed"
"38305","61145089","434968866","directed"
"38306","61145089","277007578","directed"
"38307","61145089","191606021","directed"
"38308","61145089","2306695896","directed"
"38309","61145089","192922869","directed"
"38310","61145089","50810156","directed"
"38311","61145089","144832173","directed"
"38312","61145089","2359520304","directed"
"38313","61145089","2785237306","directed"
"38314","61145089","1170404948","directed"
"38315","61145089","416361675","directed"
"38316","61145089","267898280","directed"
"38317","61145089","490720843","directed"
"38318","61145089","61762488","directed"
"38319","61145089","1901655595","directed"
"38320","61145089","400012781","directed"
"38321","61145089","865971338","directed"
"38322","61145089","376253021","directed"
"38323","61145089","391926702","directed"
"38324","61145089","1878886411","directed"
"38325","61145089","538097725","directed"
"38326","61145089","311649295","directed"
"38327","61145089","183540750","directed"
"38328","61145089","501666080","directed"
"38329","61145089","1355203866","directed"
"38330","61145089","2838145444","directed"
"38331","61145089","533163305","directed"
"38332","61145089","1569018049","directed"
"38333","61145089","2370760697","directed"
"38334","61145089","6244722","directed"
"38335","61145089","425834136","directed"
"38336","61145089","181120578","directed"
"38337","61145089","421912290","directed"
"38338","61145089","88944075","directed"
"38339","969153536490639361","101199315","directed"
"38340","969153536490639361","824611550971461632","directed"
"38341","969153536490639361","74977676","directed"
"38342","969153536490639361","1341685472","directed"
"38343","969153536490639361","720219120067821568","directed"
"38344","969153536490639361","84055536","directed"
"38345","969153536490639361","3816037815","directed"
"38346","969153536490639361","969546447552118786","directed"
"38347","969153536490639361","533163305","directed"
"38348","969153536490639361","793879191762636800","directed"
"38349","969153536490639361","823242481324195840","directed"
"38350","969153536490639361","301927950","directed"
"38351","969153536490639361","17427710","directed"
"38352","969153536490639361","932747438","directed"
"38353","969153536490639361","849683755476426752","directed"
"38354","969153536490639361","59805032","directed"
"38355","969153536490639361","831814679706087424","directed"
"38356","969153536490639361","969154442137358336","directed"
"38357","932013387164409857","3198095872","directed"
"38358","932013387164409857","969546447552118786","directed"
"38359","932013387164409857","27436295","directed"
"38360","932013387164409857","807209252171513856","directed"
"38361","932013387164409857","752948093503635456","directed"
"38362","932013387164409857","2692983410","directed"
"38363","932013387164409857","2785367814","directed"
"38364","932013387164409857","706852789792710656","directed"
"38365","932013387164409857","227264145","directed"
"38366","932013387164409857","46347027","directed"
"38367","932013387164409857","2615135439","directed"
"38368","932013387164409857","2460007706","directed"
"38369","932013387164409857","2838145444","directed"
"38370","932013387164409857","37949399","directed"
"38371","932013387164409857","2776117148","directed"
"38372","932013387164409857","1097837820","directed"
"38373","932013387164409857","2796546986","directed"
"38374","932013387164409857","259242304","directed"
"38375","932013387164409857","750286186392977409","directed"
"38376","932013387164409857","2543214114","directed"
"38377","932013387164409857","3805444043","directed"
"38378","932013387164409857","501666080","directed"
"38379","932013387164409857","2854488851","directed"
"38380","932013387164409857","738331107293298692","directed"
"38381","932013387164409857","519036960","directed"
"38382","835093402421166080","17427710","directed"
"38383","835093402421166080","3095200871","directed"
"38384","835093402421166080","1454836448","directed"
"38385","835093402421166080","2543214114","directed"
"38386","835093402421166080","4024116261","directed"
"38387","835093402421166080","969546447552118786","directed"
"38388","835093402421166080","538097725","directed"
"38389","835093402421166080","6244722","directed"
"38390","835093402421166080","847581278492778496","directed"
"38391","835093402421166080","4162410142","directed"
"38392","835093402421166080","2359520304","directed"
"38393","835093402421166080","709333678925750273","directed"
"38394","835093402421166080","706852789792710656","directed"
"38395","835093402421166080","961597173375922176","directed"
"38396","835093402421166080","46347027","directed"
"38397","835093402421166080","416361675","directed"
"38398","835093402421166080","932747438","directed"
"38399","835093402421166080","21243456","directed"
"38400","835093402421166080","491663397","directed"
"38401","835093402421166080","775647982754684928","directed"
"38402","835093402421166080","59805032","directed"
"38403","835093402421166080","250558059","directed"
"38404","835093402421166080","400057790","directed"
"38405","835093402421166080","4067216717","directed"
"38406","835093402421166080","1421172834","directed"
"38407","835093402421166080","3741645328","directed"
"38408","835093402421166080","714103813","directed"
"38409","835093402421166080","928981200152166405","directed"
"38410","835093402421166080","2401190942","directed"
"38411","835093402421166080","865971338","directed"
"38412","835093402421166080","400012781","directed"
"38413","835093402421166080","1170404948","directed"
"38414","835093402421166080","2382676952","directed"
"38415","835093402421166080","4373963417","directed"
"38416","835093402421166080","2776117148","directed"
"38417","835093402421166080","176733810","directed"
"38418","835093402421166080","311649295","directed"
"38419","835093402421166080","4839876503","directed"
"38420","835093402421166080","750286186392977409","directed"
"38421","835093402421166080","1364869201","directed"
"38422","835093402421166080","2608171524","directed"
"38423","835093402421166080","2692094678","directed"
"38424","835093402421166080","1479697020","directed"
"38425","835093402421166080","74977676","directed"
"38426","835093402421166080","3300459346","directed"
"38427","835093402421166080","15372038","directed"
"38428","835093402421166080","385614098","directed"
"38429","835093402421166080","191606021","directed"
"38430","835093402421166080","1104347432","directed"
"38431","835093402421166080","425834136","directed"
"38432","835093402421166080","267898280","directed"
"38433","835093402421166080","1117790442","directed"
"38434","835093402421166080","1343969120","directed"
"38435","835093402421166080","376253021","directed"
"38436","835093402421166080","53151026","directed"
"38437","835093402421166080","402625250","directed"
"38438","835093402421166080","1377767730","directed"
"38439","835093402421166080","3351160931","directed"
"38440","835093402421166080","391926702","directed"
"38441","835093402421166080","508013169","directed"
"38442","835093402421166080","796978097157500928","directed"
"38443","835093402421166080","4055563587","directed"
"38444","835093402421166080","434968866","directed"
"38445","835093402421166080","2833657167","directed"
"38446","835093402421166080","61762488","directed"
"38447","835093402421166080","1137114974","directed"
"38448","835093402421166080","1346705258","directed"
"38449","835093402421166080","263559225","directed"
"38450","835093402421166080","186394769","directed"
"38451","835093402421166080","101755795","directed"
"38452","835093402421166080","831814679706087424","directed"
"38453","835093402421166080","529256992","directed"
"38454","835093402421166080","557562962","directed"
"38455","835093402421166080","629155988","directed"
"38456","835093402421166080","421912290","directed"
"38457","835093402421166080","503529895","directed"
"38458","835093402421166080","1878886411","directed"
"38459","835093402421166080","2785237306","directed"
"38460","835093402421166080","533163305","directed"
"38461","835093402421166080","17557482","directed"
"38462","712180408625078272","3351746919","directed"
"38463","712180408625078272","2347495914","directed"
"38464","712180408625078272","714103813","directed"
"38465","712180408625078272","14937469","directed"
"38466","712180408625078272","1104347432","directed"
"38467","712180408625078272","706852789792710656","directed"
"38468","712180408625078272","3198095872","directed"
"38469","712180408625078272","20529051","directed"
"38470","712180408625078272","52062562","directed"
"38471","712180408625078272","416361675","directed"
"38472","712180408625078272","941401","directed"
"38473","712180408625078272","1121945502","directed"
"38474","712180408625078272","52349626","directed"
"38475","712180408625078272","2584673807","directed"
"38476","862255007843983360","533163305","directed"
"38477","862255007843983360","191606021","directed"
"38478","862255007843983360","416361675","directed"
"38479","862255007843983360","865971338","directed"
"38480","862255007843983360","434968866","directed"
"38481","862255007843983360","1878886411","directed"
"38482","862255007843983360","964809955","directed"
"38483","862255007843983360","250558059","directed"
"38484","862255007843983360","1569018049","directed"
"38485","862255007843983360","2304723590","directed"
"38486","831814679706087424","969546447552118786","directed"
"38487","831814679706087424","301927950","directed"
"38488","831814679706087424","775647982754684928","directed"
"38489","831814679706087424","159796963","directed"
"38490","831814679706087424","91627591","directed"
"38491","831814679706087424","720219120067821568","directed"
"38492","831814679706087424","2432161802","directed"
"38493","831814679706087424","807211822420021248","directed"
"38494","831814679706087424","1667841438","directed"
"38495","831814679706087424","4839876503","directed"
"38496","831814679706087424","504099308","directed"
"38497","831814679706087424","2948932869","directed"
"38498","831814679706087424","1137114974","directed"
"38499","831814679706087424","192922869","directed"
"38500","831814679706087424","402625250","directed"
"38501","831814679706087424","1563291032","directed"
"38502","831814679706087424","2907514331","directed"
"38503","831814679706087424","872436119081816065","directed"
"38504","831814679706087424","2902125467","directed"
"38505","831814679706087424","854700945682419713","directed"
"38506","831814679706087424","849683755476426752","directed"
"38507","831814679706087424","491663397","directed"
"38508","831814679706087424","858656551749529602","directed"
"38509","831814679706087424","859827626436898816","directed"
"38510","831814679706087424","328994106","directed"
"38511","831814679706087424","184917701","directed"
"38512","831814679706087424","709333678925750273","directed"
"38513","831814679706087424","89718182","directed"
"38514","831814679706087424","21243456","directed"
"38515","831814679706087424","2799651442","directed"
"38516","831814679706087424","27436295","directed"
"38517","831814679706087424","4482641554","directed"
