"Id","Source","Target","Type"
"0","720219120067821568","969154442137358336","directed"
"1","823242481324195840","969154442137358336","directed"
"2","1341685472","969154442137358336","directed"
"3","538097725","969154442137358336","directed"
"4","793879191762636800","969154442137358336","directed"
"5","849683755476426752","969154442137358336","directed"
"6","59805032","969154442137358336","directed"
"7","301927950","969154442137358336","directed"
"8","969153536490639361","969154442137358336","directed"
"9","491663397","750286186392977409","directed"
"10","709333678925750273","750286186392977409","directed"
"11","2584673807","750286186392977409","directed"
"12","859827626436898816","750286186392977409","directed"
"13","867847839757422592","750286186392977409","directed"
"14","965636892413833217","750286186392977409","directed"
"15","1343969120","750286186392977409","directed"
"16","2336684419","750286186392977409","directed"
"17","966591314497298432","750286186392977409","directed"
"18","1429810189","750286186392977409","directed"
"19","382290608","750286186392977409","directed"
"20","2785237306","750286186392977409","directed"
"21","70908416","750286186392977409","directed"
"22","126617387","750286186392977409","directed"
"23","910489097956970497","750286186392977409","directed"
"24","2917823309","750286186392977409","directed"
"25","777784165437702144","750286186392977409","directed"
"26","227264145","750286186392977409","directed"
"27","184917701","750286186392977409","directed"
"28","301927950","750286186392977409","directed"
"29","932013387164409857","750286186392977409","directed"
"30","171657904","750286186392977409","directed"
"31","2692094678","750286186392977409","directed"
"32","1731470172","750286186392977409","directed"
"33","922452265360863232","750286186392977409","directed"
"34","881127651955617792","750286186392977409","directed"
"35","708611699008524288","750286186392977409","directed"
"36","922844515358126080","750286186392977409","directed"
"37","42596147","750286186392977409","directed"
"38","917348214449360896","750286186392977409","directed"
"39","872436119081816065","750286186392977409","directed"
"40","4008445576","750286186392977409","directed"
"41","823242481324195840","750286186392977409","directed"
"42","15372038","750286186392977409","directed"
"43","1170404948","750286186392977409","directed"
"44","400024012","750286186392977409","directed"
"45","4839876503","750286186392977409","directed"
"46","835093402421166080","750286186392977409","directed"
"47","416361675","750286186392977409","directed"
"48","882933522931089411","750286186392977409","directed"
"49","707542471920787457","750286186392977409","directed"
"50","1907251543","750286186392977409","directed"
"51","788050637074403328","750286186392977409","directed"
"52","385614098","750286186392977409","directed"
"53","2374479512","750286186392977409","directed"
"54","449195625","750286186392977409","directed"
"55","2543214114","750286186392977409","directed"
"56","748057779827519488","750286186392977409","directed"
"57","345310708","750286186392977409","directed"
"58","259242304","750286186392977409","directed"
"59","529256992","750286186392977409","directed"
"60","858656551749529602","750286186392977409","directed"
"61","3095200871","750286186392977409","directed"
"62","3238784939","750286186392977409","directed"
"63","376253021","750286186392977409","directed"
"64","849520868464242689","750286186392977409","directed"
"65","966422798","750286186392977409","directed"
"66","3805444043","750286186392977409","directed"
"67","392562349","750286186392977409","directed"
"68","273943831","750286186392977409","directed"
"69","425834136","750286186392977409","directed"
"70","1117790442","750286186392977409","directed"
"71","47579868","750286186392977409","directed"
"72","2519843085","750286186392977409","directed"
"73","826021126853767168","750286186392977409","directed"
"74","3303789580","750286186392977409","directed"
"75","4482641554","750286186392977409","directed"
"76","831564825914400768","750286186392977409","directed"
"77","37949399","750286186392977409","directed"
"78","831814679706087424","750286186392977409","directed"
"79","2601723926","750286186392977409","directed"
"80","865971338","750286186392977409","directed"
"81","713817882","750286186392977409","directed"
"82","807209252171513856","750286186392977409","directed"
"83","831803612489728000","750286186392977409","directed"
"84","2915666614","750286186392977409","directed"
"85","3065982022","750286186392977409","directed"
"86","3280014502","750286186392977409","directed"
"87","277007578","750286186392977409","directed"
"88","533163305","750286186392977409","directed"
"89","700501170","750286186392977409","directed"
"90","2336883944","750286186392977409","directed"
"91","267898280","750286186392977409","directed"
"92","773489936687304704","750286186392977409","directed"
"93","2168094626","750286186392977409","directed"
"94","2799651442","750286186392977409","directed"
"95","742663751934062592","750286186392977409","directed"
"96","56184294","750286186392977409","directed"
"97","21848601","750286186392977409","directed"
"98","46347027","750286186392977409","directed"
"99","1569018049","750286186392977409","directed"
"100","61762488","750286186392977409","directed"
"101","948243710","750286186392977409","directed"
"102","4567815741","750286186392977409","directed"
