"Id","Source","Target","Type"
"0","969154442137358336","720219120067821568","directed"
"1","969154442137358336","969546447552118786","directed"
"2","969154442137358336","932747438","directed"
"3","969154442137358336","823242481324195840","directed"
"4","969154442137358336","793879191762636800","directed"
"5","969154442137358336","849683755476426752","directed"
"6","969154442137358336","59805032","directed"
"7","969154442137358336","301927950","directed"
"8","969154442137358336","533163305","directed"
"9","969154442137358336","831814679706087424","directed"
"10","969154442137358336","969153536490639361","directed"
"11","750286186392977409","969546447552118786","directed"
"12","750286186392977409","214008538","directed"
"13","750286186392977409","491663397","directed"
"14","750286186392977409","709333678925750273","directed"
"15","750286186392977409","965636892413833217","directed"
"16","750286186392977409","2336684419","directed"
"17","750286186392977409","184917701","directed"
"18","750286186392977409","1429810189","directed"
"19","750286186392977409","382290608","directed"
"20","750286186392977409","910489097956970497","directed"
"21","750286186392977409","126617387","directed"
"22","750286186392977409","227264145","directed"
"23","750286186392977409","2601723926","directed"
"24","750286186392977409","2799651442","directed"
"25","750286186392977409","930483592009887745","directed"
"26","750286186392977409","2382676952","directed"
"27","750286186392977409","42596147","directed"
"28","750286186392977409","917348214449360896","directed"
"29","750286186392977409","3095200871","directed"
"30","750286186392977409","2917823309","directed"
"31","750286186392977409","872436119081816065","directed"
"32","750286186392977409","730737482153795584","directed"
"33","750286186392977409","823242481324195840","directed"
"34","750286186392977409","15372038","directed"
"35","750286186392977409","274886363","directed"
"36","750286186392977409","400024012","directed"
"37","750286186392977409","858656551749529602","directed"
"38","750286186392977409","4839876503","directed"
"39","750286186392977409","882933522931089411","directed"
"40","750286186392977409","385614098","directed"
"41","750286186392977409","259242304","directed"
"42","750286186392977409","1104347432","directed"
"43","750286186392977409","3238784939","directed"
"44","750286186392977409","738331107293298692","directed"
"45","750286186392977409","849520868464242689","directed"
"46","750286186392977409","824611550971461632","directed"
"47","750286186392977409","47579868","directed"
"48","750286186392977409","392562349","directed"
"49","750286186392977409","4008445576","directed"
"50","750286186392977409","425834136","directed"
"51","750286186392977409","1907251543","directed"
"52","750286186392977409","3198095872","directed"
"53","750286186392977409","48400074","directed"
"54","750286186392977409","826021126853767168","directed"
"55","750286186392977409","449195625","directed"
"56","750286186392977409","4482641554","directed"
"57","750286186392977409","37949399","directed"
"58","750286186392977409","46347027","directed"
"59","750286186392977409","1355203866","directed"
"60","750286186392977409","1901655595","directed"
"61","750286186392977409","831814679706087424","directed"
"62","750286186392977409","713817882","directed"
"63","750286186392977409","807209252171513856","directed"
"64","750286186392977409","3065982022","directed"
"65","750286186392977409","2915666614","directed"
"66","750286186392977409","777784165437702144","directed"
"67","750286186392977409","277007578","directed"
"68","750286186392977409","2336883944","directed"
"69","750286186392977409","4024116261","directed"
"70","750286186392977409","3280014502","directed"
"71","750286186392977409","376253021","directed"
"72","750286186392977409","1284392876","directed"
"73","750286186392977409","2543214114","directed"
"74","750286186392977409","267898280","directed"
"75","750286186392977409","402625250","directed"
"76","750286186392977409","700501170","directed"
"77","750286186392977409","1491426895","directed"
"78","750286186392977409","966422798","directed"
"79","750286186392977409","2359520304","directed"
"80","750286186392977409","52062562","directed"
"81","750286186392977409","773489936687304704","directed"
"82","750286186392977409","2168094626","directed"
"83","750286186392977409","21848601","directed"
"84","750286186392977409","1117790442","directed"
"85","750286186392977409","101755795","directed"
"86","750286186392977409","948243710","directed"
"87","750286186392977409","4567815741","directed"
"88","750286186392977409","56184294","directed"
"89","750286186392977409","2277607969","directed"
"90","750286186392977409","4075080083","directed"
"91","750286186392977409","2902125467","directed"
"92","750286186392977409","250558059","directed"
"93","750286186392977409","416361675","directed"
"94","750286186392977409","61762488","directed"
"95","750286186392977409","144832173","directed"
"96","750286186392977409","1346705258","directed"
"97","750286186392977409","48298968","directed"
"98","750286186392977409","59805032","directed"
"99","750286186392977409","772100325784317952","directed"
"100","750286186392977409","2163323475","directed"
"101","750286186392977409","263559225","directed"
"102","750286186392977409","3805444043","directed"
"103","750286186392977409","391926702","directed"
"104","750286186392977409","1569018049","directed"
"105","750286186392977409","3063951376","directed"
"106","750286186392977409","400057790","directed"
"107","750286186392977409","2785367814","directed"
"108","750286186392977409","2615135439","directed"
"109","750286186392977409","1421172834","directed"
"110","750286186392977409","1097837820","directed"
"111","750286186392977409","490720843","directed"
"112","750286186392977409","2854488851","directed"
"113","750286186392977409","2210397950","directed"
"114","750286186392977409","964809955","directed"
"115","750286186392977409","176733810","directed"
"116","750286186392977409","2460007706","directed"
"117","750286186392977409","183540750","directed"
"118","750286186392977409","1462609603","directed"
"119","750286186392977409","878092579","directed"
"120","750286186392977409","2345035488","directed"
"121","750286186392977409","21243456","directed"
"122","750286186392977409","529256992","directed"
"123","750286186392977409","2911564642","directed"
"124","750286186392977409","2909775886","directed"
"125","750286186392977409","4162410142","directed"
"126","750286186392977409","74977676","directed"
"127","750286186392977409","2833657167","directed"
"128","750286186392977409","50810156","directed"
"129","750286186392977409","793588688","directed"
"130","750286186392977409","191606021","directed"
"131","750286186392977409","2375696683","directed"
"132","750286186392977409","89718182","directed"
"133","750286186392977409","501666080","directed"
"134","750286186392977409","88944075","directed"
"135","750286186392977409","4055563587","directed"
"136","750286186392977409","48309940","directed"
"137","750286186392977409","2776117148","directed"
"138","750286186392977409","84931753","directed"
"139","750286186392977409","619971187","directed"
"140","750286186392977409","932747438","directed"
"141","750286186392977409","114733185","directed"
"142","750286186392977409","297862021","directed"
"143","750286186392977409","1598324696","directed"
"144","750286186392977409","629155988","directed"
"145","750286186392977409","519036960","directed"
"146","750286186392977409","421912290","directed"
"147","750286186392977409","168627231","directed"
"148","750286186392977409","538097725","directed"
"149","750286186392977409","4067216717","directed"
"150","750286186392977409","1702037515","directed"
"151","750286186392977409","995289067","directed"
"152","750286186392977409","752948093503635456","directed"
"153","750286186392977409","61145089","directed"
"154","750286186392977409","720244135169536000","directed"
"155","750286186392977409","4373963417","directed"
"156","750286186392977409","865971338","directed"
"157","750286186392977409","557562962","directed"
