"Source","Target","Type"
"538097725","2785237306","directed"
"273943831","878092579","directed"
"59805032","831814679706087424","directed"
"576251130","729979811561656320","directed"
"2395082463","501666080","directed"
"490720843","53151026","directed"
"750286186392977409","2785237306","directed"
"46347027","706852789792710656","directed"
"46347027","831814679706087424","directed"
"46347027","1734421802","directed"
"46347027","4777269747","directed"
"176733810","2382676952","directed"
"2519843085","301927950","directed"
"878092579","2345035488","directed"
"878092579","1117790442","directed"
"61145089","831814679706087424","directed"
"969153536490639361","831814679706087424","directed"
"4162410142","2601723926","directed"
"4162410142","57320656","directed"
"4162410142","831814679706087424","directed"
"15372038","969546447552118786","directed"
"932013387164409857","3805444043","directed"
"835093402421166080","53151026","directed"
"2214719151","84931753","directed"
"17427710","167142337","directed"
"3198095872","775647982754684928","directed"
"712180408625078272","161471794","directed"
"916016690420420609","17427710","directed"
"916016690420420609","167142337","directed"
"729979811561656320","831814679706087424","directed"
"3280014502","775647982754684928","directed"
"872436119081816065","831814679706087424","directed"
"872436119081816065","2601723926","directed"
"61762488","932747438","directed"
"2776117148","4162410142","directed"
"3095200871","501666080","directed"
"867847839757422592","501666080","directed"
"867847839757422592","872436119081816065","directed"
"867847839757422592","167142337","directed"
"867847839757422592","831814679706087424","directed"
"720219120067821568","706852789792710656","directed"
"862255007843983360","425834136","directed"
"741053685237682176","529256992","directed"
"259301275","59805032","directed"
"831814679706087424","214008538","directed"
"519036960","3805444043","directed"
"2210397950","21848601","directed"
"416361675","376253021","directed"
"865971338","3805444043","directed"
"267898280","84055536","directed"
"3741645328","2785237306","directed"
"932747438","831814679706087424","directed"
"932747438","1885807718","directed"
"619971187","1284392876","directed"
"938378933975871488","2785237306","directed"
"2359520304","2345035488","directed"
"2907514331","192922869","directed"
"214008538","2411576834","directed"
"214008538","214008538","directed"
"807209252171513856","831814679706087424","directed"
"807209252171513856","21084942","directed"
"1454836448","328994106","directed"
"720244135169536000","53151026","directed"
"707542471920787457","831814679706087424","directed"
"391926702","2907514331","directed"
"146204824","831814679706087424","directed"
"146204824","839125519945850880","directed"
"1878886411","2785237306","directed"
"831803612489728000","974973818","directed"
"101199315","59805032","directed"
"101199315","21084942","directed"
"967503330066010112","267898280","directed"
"967503330066010112","1885807718","directed"
"1515973417","969546447552118786","directed"
"1346705258","533163305","directed"
"1346705258","533163305","directed"
"2785237306","831814679706087424","directed"
"491663397","421912290","directed"
"491663397","2776117148","directed"
"491663397","3805444043","directed"
"529256992","144832173","directed"
"1429810189","2277607969","directed"
"250558059","831814679706087424","directed"
"839125519945850880","854581958","directed"
"1421172834","2785237306","directed"
"501666080","872436119081816065","directed"
"501666080","167142337","directed"
"501666080","831814679706087424","directed"
"793879191762636800","263559225","directed"
"4839876503","101755795","directed"
"3130877098","778180340414316546","directed"
"400012781","821295773207949312","directed"
"392562349","824611550971461632","directed"
"2931116931","1901655595","directed"
"2931116931","831814679706087424","directed"
"400024012","3805444043","directed"
"713817882","1117790442","directed"
"713817882","713817882","directed"
"713817882","1117790442","directed"
"3065982022","53151026","directed"
"59425816","2210397950","directed"
"3063951376","859827626436898816","directed"
"400057790","159796963","directed"
"89718182","101755795","directed"
"4055563587","421912290","directed"
"4055563587","2776117148","directed"
"4055563587","3805444043","directed"
"1598324696","1341685472","directed"
"806990049317421056","831814679706087424","directed"
"1341685472","84931753","directed"
"1137114974","52341962","directed"
"1137114974","1137114974","directed"
"1870784744","53151026","directed"
"1284392876","1421172834","directed"
"229059335","533163305","directed"
"229059335","831814679706087424","directed"
"144832173","831814679706087424","directed"
"2336684419","831814679706087424","directed"
"48309940","421912290","directed"
"48309940","2776117148","directed"
"48309940","3805444043","directed"
"2543214114","750286186392977409","directed"
"2543214114","501666080","directed"
"2345035488","421912290","directed"
"2345035488","2776117148","directed"
"2345035488","3805444043","directed"
"1462609603","831814679706087424","directed"
"52341962","2289869460","directed"
"1365411722","4162410142","directed"
"28076637","259301275","directed"
"2375696683","89718182","directed"
"2375696683","755854671953080320","directed"
"2375696683","3153574948","directed"
"974973818","831814679706087424","directed"
"969154442137358336","969153536490639361","directed"
"2584673807","872436119081816065","directed"
"2584673807","702786126","directed"
"824611550971461632","831814679706087424","directed"
"886896647904559105","501666080","directed"
"159796963","84055536","directed"
"159796963","932747438","directed"
"581149964","874726905110564864","directed"
"581149964","250558059","directed"
"874726905110564864","529256992","directed"
"263559225","421912290","directed"
"48298968","1421172834","directed"
"3093520294","259301275","directed"
"84931753","529256992","directed"
"773813263075250177","48298968","directed"
"773813263075250177","714103813","directed"
"773813263075250177","59805032","directed"
"301927950","849683755476426752","directed"
"301927950","849520868464242689","directed"
"4373963417","2382676952","directed"
"796978097157500928","1421172834","directed"
"796978097157500928","533163305","directed"
"4067216717","490720843","directed"
"2894392371","490720843","directed"
"173775023","416361675","directed"
"953921398442995712","250558059","directed"
"168627231","1421172834","directed"
"708611699008524288","84055536","directed"
"854700945682419713","729979811561656320","directed"
"1364869201","49383406","directed"
"2370760697","847581278492778496","directed"
"933713214805700609","192922869","directed"
"2915666614","3095200871","directed"
"2915666614","3389432535","directed"
"14479469","839125519945850880","directed"
"777784165437702144","142280807","directed"
"70908416","1878886411","directed"
"70908416","1878886411","directed"
"710810293207744513","775647982754684928","directed"
"710810293207744513","583569338","directed"
"710810293207744513","930754078044491776","directed"
"826021126853767168","519036960","directed"
"3238784939","1284392876","directed"
"3238784939","3238784939","directed"
"3238784939","48298968","directed"
"46862540","897492667260702721","directed"
"2212848967","59805032","directed"
"557562962","161471794","directed"
"503529895","831814679706087424","directed"
"402625250","865971338","directed"
"402625250","533163305","directed"
"778180340414316546","831814679706087424","directed"
"973535718","84931753","directed"
"2304723590","862255007843983360","directed"
"3351746919","964809955","directed"
"3351746919","1537347103","directed"
"859827626436898816","3063951376","directed"
"859827626436898816","2826252210","directed"
"823242481324195840","849683755476426752","directed"
"2374479512","59805032","directed"
"1238815129","3198095872","directed"
"14309386","1421172834","directed"
"14309386","831814679706087424","directed"
"14309386","533163305","directed"
"3233714533","229059335","directed"
"3233714533","533163305","directed"
"3233714533","831814679706087424","directed"
"183540750","501666080","directed"
"192922869","2907514331","directed"
"3303789580","38632947","directed"
"831564825914400768","3063951376","directed"
"831564825914400768","806990049317421056","directed"
"831564825914400768","872436119081816065","directed"
"831564825914400768","2601723926","directed"
"831564825914400768","2395082463","directed"
"831564825914400768","778180340414316546","directed"
"254793053","831814679706087424","directed"
"14667145","2838145444","directed"
"14667145","831814679706087424","directed"
"2838145444","750286186392977409","directed"
"2838145444","501666080","directed"
"1178843514","847581278492778496","directed"
"14937469","533163305","directed"
"14937469","533163305","directed"
"14937469","858656551749529602","directed"
"930483592009887745","910489097956970497","directed"
"775647982754684928","583569338","directed"
"775647982754684928","930754078044491776","directed"
"533163305","533163305","directed"
"819233706","297862021","directed"
"819233706","90324876","directed"
"2163323475","750286186392977409","directed"
"2692983410","3805444043","directed"
"167023077","775647982754684928","directed"
"167023077","1251332575","directed"
"167023077","13334762","directed"
"777435871654141952","3063951376","directed"
"917348214449360896","750286186392977409","directed"
"1343969120","750286186392977409","directed"
"821295773207949312","19072286","directed"
"297862021","4008445576","directed"
"297862021","831814679706087424","directed"
"21243456","831814679706087424","directed"
"2277607969","1491426895","directed"
"90324876","297862021","directed"
"90324876","90324876","directed"
"45586526","847581278492778496","directed"
"889756995343052800","158729810","directed"
"889756995343052800","250558059","directed"
"889756995343052800","326168106","directed"
"889756995343052800","1055853402","directed"
"858656551749529602","831814679706087424","directed"
"858656551749529602","533163305","directed"
"18848567","897492667260702721","directed"
"1907251543","2210397950","directed"
"1907251543","865971338","directed"
"56184294","750286186392977409","directed"
"793588688","2838145444","directed"
"3805444043","421912290","directed"
"3805444043","2776117148","directed"
"3805444043","3805444043","directed"
"2608171524","101755795","directed"
"2692094678","2785237306","directed"
"161471794","831814679706087424","directed"
"34967636","3095200871","directed"
"34967636","729979811561656320","directed"
"2902125467","700565881","directed"
"4185743326","421912290","directed"
"4185743326","2776117148","directed"
"4185743326","3805444043","directed"
